"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"02176099999","2003-01-01T04:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","-5","0","","|SN |","","","77","FEW:01 19 SCT:03 24 BKN:05 29","","","3.11","","290","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  01031 02176 27550 /2904 11177 21208 77170 333 69935 81/19 83/24 85/29 88/41;","","","","","","","","","",""
"02176099999","2003-01-01T07:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","2","8","","|SN |","","","78","FEW:01 16 SCT:03 29","","","6.84","","320","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  01061 02176 07561 /3206 11135 21165 69932 77170 333 11135 21224 69905 70003 81/16 83/29 87/36;","","","","","","","","","",""
"02176099999","2003-01-01T10:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","7","11","","|SN |","","","85","BKN:05 32","","","2.61","","350","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  01091 02176 27542 /3507 11119 21139 77177 333 69905 85/32 88/50;","","","","","","","","","",""
"02176099999","2003-01-01T13:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","4","7","","","","","86","FEW:01 45","","","27.96","","310","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  01121 02176 17783 /3103 11140 21158 69941 70070 333 81/46 83/59;","","","","","","","","","",""
"02176099999","2003-01-01T16:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","6","9","","","","","87","FEW:01 21 SCT:03 26 BKN:05 32","","","","","260","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  01151 02176 355// /2603 11130 21147 333 81/21 83/26 85/32 88/40;","","","","","","","","","",""
"02176099999","2003-01-01T19:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","10","13","","|SN |","","","88","BKN:05 34","","","8.70","","290","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN088AAXX  01181 02176 07664 /2903 11105 21121 69952 77170 333 11104 21145 69905 85/35 88/48;","","","","","","","","","",""
"02176099999","2003-01-01T22:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","13","17","","","","","88","OVC:08 38","","","","","320","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  01211 02176 276// /3205 11086 21103 72477 333 69915 88/39;","","","","","","","","","",""
"02176099999","2003-01-02T01:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","12","15","T","|SN |","","","87","FEW:01 19 SCT:03 26","","","11.18","","320","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  02001 02176 07468 /3205 11095 21113 69921 77187 333 69905 81/19 83/26 87/60;","","","","","","","","","",""
"02176099999","2003-01-02T04:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","14","17","","|SN |","","","87","BKN:05 32","","","3.73","","310","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  02031 02176 27656 /3104 11082 21100 77187 333 69905 85/33 88/44;","","","","","","","","","",""
"02176099999","2003-01-02T07:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","14","17","","|SN |","","","88","FEW:01 27 BKN:05 36","","","3.11","","330","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN100AAXX  02061 02176 07550 /3305 11085 21101 69942 77187 333 11080 21106 69915 70009 81/27 85/37 87/49;","","","","","","","","","",""
"02176099999","2003-01-02T10:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","10","14","","","","","87","OVC:08 33","","","","","320","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  02091 02176 276// /3204 11102 21120 72477 333 69905 88/34;","","","","","","","","","",""
"02176099999","2003-01-02T13:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","13","16","","","","","88","OVC:08 49","","","","","340","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  02121 02176 177// /3405 11088 21104 69911 70070 333 88/50;","","","","","","","","","",""
"02176099999","2003-01-02T16:00:00","65.0333333","21.5666666","4.0","PITE RONNSKAR, SW","FM-12","4","","9","12","","|SN |","","","88","FEW:01 38 SCT:03 49 BKN:05 59","","","4.35","","330","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN082AAXX  02151 02176 27657 /3305 11112 21128 77170 333 69905 81/39 83/50 85/56 88/58;","","","","","","","","","",""
